"ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","COLOR","COLOR_BIO","UNIQUE_ECOREGION_COLOR","BIOMES_O_PLENTY_BIOME","BIOMES_O_PLENTY_BIOME_PRIORITY","REGIONS_UNEXPLORED_BIOME","REGIONS_UNEXPLORED_BIOME_PRIORITY","MINECRAFT_BIOME"
"238","Lower Gangetic Plains moist deciduous forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#419613","","","regions_unexplored:rainforest","1","minecraft:jungle"
"239","Luang Prabang montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#70A800","#38A700","#08C000","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"240","Luzon montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#47B700","#38A700","#4F9116","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"241","Luzon rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#98E500","#38A700","#1DBB00","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"242","Malabar Coast moist forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#508C00","","","regions_unexplored:rainforest","1","minecraft:jungle"
"243","Maldives-Lakshadweep-Chagos Archipelago tropical moist forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#6C9400","#38A700","#32B602","biomesoplenty:tropics","1","regions_unexplored:tropics","2","minecraft:jungle"
"244","Meghalaya subtropical forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#4C5801","#38A700","#5C8700","biomesoplenty:jade_cliffs","2","regions_unexplored:rainforest","1","minecraft:jungle"
"245","Mentawai Islands rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#47B206","","","regions_unexplored:tropics","1","minecraft:jungle"
"246","Mindanao montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#4C7300","#38A700","#098200","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"247","Mindanao-Eastern Visayas rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#23DB01","#38A700","#59AD0A","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"248","Mindoro rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#70A800","#38A700","#177D00","","","regions_unexplored:rainforest","1","minecraft:jungle"
"249","Mizoram-Manipur-Kachin rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#36C900","#38A700","#6AA80E","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"250","Myanmar coastal rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#47B700","#38A700","#3ED200","","","regions_unexplored:tropics","1","minecraft:jungle"
"251","Nansei Islands subtropical evergreen forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#70A800","#38A700","#11A312","biomesoplenty:tropics","1","regions_unexplored:tropics","2","minecraft:jungle"
"252","Nicobar Islands rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#70A800","#38A700","#53CD00","","","regions_unexplored:tropics","1","minecraft:jungle"
"253","North Western Ghats moist deciduous forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#6AB800","#38A700","#229E14","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"254","North Western Ghats montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#1F8E00","#38A700","#67C800","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"255","Northern Annamites rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#4F8700","#38A700","#329917","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"256","Northern Indochina subtropical forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#98E500","#38A700","#7AC300","","","regions_unexplored:rainforest","1","minecraft:jungle"
"257","Northern Khorat Plateau moist deciduous forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#82F178","#38A700","#419419","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"258","Northern Thailand-Laos moist deciduous forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#4C7300","#38A700","#05BE02","","","regions_unexplored:rainforest","1","minecraft:jungle"
"259","Northern Triangle subtropical forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#004600","#38A700","#3E8F00","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"260","Northern Vietnam lowland rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#035701","#38A700","#1DB906","","","regions_unexplored:rainforest","1","minecraft:jungle"
"261","Orissa semi-evergreen forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#269400","#38A700","#4B8A00","biomesoplenty:woodland","1","regions_unexplored:sparse_rainforest","2","minecraft:jungle"
"262","Palawan rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#36C900","#38A700","#33B40A","","","regions_unexplored:rainforest","1","minecraft:jungle"
"263","Peninsular Malaysian montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#578500","biomesoplenty:jade_cliffs","2","regions_unexplored:rainforest","1","minecraft:jungle"
"264","Peninsular Malaysian peat swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#6C9400","#38A700","#46AF0E","biomesoplenty:bog","1","regions_unexplored:marsh","2","minecraft:swamp"
"265","Peninsular Malaysian rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#70A800","#38A700","#068000","","","regions_unexplored:rainforest","1","minecraft:jungle"
"266","Red River freshwater swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#36C900","#38A700","#58AA11","biomesoplenty:floodplain","1","regions_unexplored:muddy_river","2","minecraft:swamp"
"267","South China Sea Islands","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#36C900","#38A700","#147B00","","","regions_unexplored:tropics","1","minecraft:jungle"
"268","South China-Vietnam subtropical evergreen forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#70A800","#38A700","#68A514","biomesoplenty:orchard","1","regions_unexplored:rainforest","2","minecraft:jungle"
"269","South Taiwan monsoon rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#38CF00","biomesoplenty:tropics","1","regions_unexplored:sparse_rainforest","2","minecraft:jungle"
"270","South Western Ghats moist deciduous forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#47B700","#38A700","#75A017","","","regions_unexplored:rainforest","1","minecraft:jungle"
"271","South Western Ghats montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#004600","#38A700","#4DCA00","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"272","Southern Annamites montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#98E500","#38A700","#249B1A","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"273","Southwest Borneo freshwater swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#13ED00","#38A700","#62C501","biomesoplenty:floodplain","1","regions_unexplored:bayou","2","minecraft:swamp"
"274","Sri Lanka lowland rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#4DE600","#38A700","#1C9600","","","regions_unexplored:rainforest","1","minecraft:jungle"
"275","Sri Lanka montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#76C006","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"276","Sulu Archipelago rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#4C7300","#38A700","#2B9100","","","regions_unexplored:tropics","1","minecraft:jungle"
"277","Sumatran freshwater swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#47B700","#38A700","#0ABB0B","biomesoplenty:floodplain","1","regions_unexplored:bayou","2","minecraft:swamp"
"278","Sumatran lowland rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#5AA500","#38A700","#398C00","","","regions_unexplored:rainforest","1","minecraft:jungle"
"279","Sumatran montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#4C5400","#38A700","#1FB60E","biomesoplenty:jade_cliffs","2","regions_unexplored:rainforest","1","minecraft:jungle"
"280","Sumatran peat swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#468700","biomesoplenty:bog","1","regions_unexplored:marsh","2","minecraft:swamp"
"281","Sundaland heath forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#34B111","biomesoplenty:rainforest","1","regions_unexplored:rainforest","2","minecraft:jungle"
"282","Sundarbans freshwater swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#5AA500","#38A700","#528200","biomesoplenty:floodplain","1","regions_unexplored:marsh","2","minecraft:swamp"
"283","Taiwan subtropical evergreen forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#13ED00","#38A700","#46AC15","biomesoplenty:jacaranda_glade","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"284","Tenasserim-South Thailand semi-evergreen rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267A0A","#38A700","#037D00","","","regions_unexplored:rainforest","1","minecraft:jungle"
"285","Tonle Sap freshwater swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#57A718","biomesoplenty:floodplain","1","regions_unexplored:bayou","2","minecraft:swamp"
"286","Tonle Sap-Mekong peat swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#82F178","#38A700","#1CD100","biomesoplenty:bog","1","regions_unexplored:marsh","2","minecraft:swamp"
"287","Upper Gangetic Plains moist deciduous forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#70A800","#38A700","#66A21B","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"288","Western Java montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#6C9400","#38A700","#33CC01","biomesoplenty:jade_cliffs","2","regions_unexplored:rainforest","1","minecraft:jungle"
"289","Western Java rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#36C900","#38A700","#689D00","","","regions_unexplored:rainforest","1","minecraft:jungle"
"290","Central Deccan Plateau dry deciduous forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#B0C705","#CCCD65","#EDEC7B","biomesoplenty:woodland","1","regions_unexplored:temperate_grove","2","minecraft:forest"
"291","Central Indochina dry forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#73BD1E","#CCCD65","#9ABE44","biomesoplenty:orchard","1","regions_unexplored:deciduous_forest","2","minecraft:forest"
"292","Chhota-Nagpur dry deciduous forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#86D01B","#CCCD65","#E9DB7E","biomesoplenty:woodland","1","regions_unexplored:orchard","2","minecraft:forest"
"293","East Deccan dry-evergreen forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#AEFA40","#CCCD65","#A4B946","biomesoplenty:jacaranda_glade","2","regions_unexplored:eucalyptus_forest","1","minecraft:forest"
"294","Irrawaddy dry forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#98B414","#CCCD65","#E4CC80","biomesoplenty:orchard","1","regions_unexplored:deciduous_forest","2","minecraft:forest"
"295","Khathiar-Gir dry deciduous forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#85D60B","#CCCD65","#ADB448","biomesoplenty:woodland","1","regions_unexplored:orchard","2","minecraft:forest"
"296","Narmada Valley dry deciduous forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#9EED42","#CCCD65","#DFBF83","biomesoplenty:woodland","1","regions_unexplored:temperate_grove","2","minecraft:forest"
"297","North Deccan dry deciduous forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#9CD940","#CCCD65","#AFAB4A","biomesoplenty:field","2","regions_unexplored:deciduous_forest","1","minecraft:forest"
"298","South Deccan Plateau dry deciduous forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#98FA05","#CCCD65","#C3DA85","biomesoplenty:orchard","2","regions_unexplored:orchard","1","minecraft:forest"
"299","Southeast Indochina dry evergreen forests","2","Tropical & Subtropical Dry Broadleaf Forests","Indomalayan","#BCD72A","#CCCD65","#AA9C4C","biomesoplenty:jacaranda_glade","2","regions_unexplored:eucalyptus_forest","1","minecraft:forest"
