UNIQUE_ECOREGION_COLOR,ECO_NAME,BIOME_NAME,REALM,BIOMES_O_PLENTY_BIOME,MINECRAFT_BIOME
#006725,Western Himalayan broadleaf forests,Temperate Broadleaf & Mixed Forests,Indomalayan,biomesoplenty:woodland,minecraft:forest
#006A3D,Tasmanian temperate rain forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:rainforest,minecraft:forest
#006C33,Eastern Himalayan broadleaf forests,Temperate Broadleaf & Mixed Forests,Indomalayan,biomesoplenty:woodland,minecraft:forest
#00745C,Tasmanian Central Highland forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#007564,New England-Acadian forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:maple_woods,minecraft:forest
#00796E,Richmond temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#007A76,Interior Plateau US Hardwood Forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:woodland,minecraft:forest
#007C7E,Northland temperate kauri forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#007F2D,Eastern Great Lakes lowland forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:maple_woods,minecraft:forest
#008336,New Zealand North Island temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#00874E,Central European mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:birch_forest
#008847,Fiordland temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:rainforest,minecraft:forest
#008A84,Valdivian temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic,biomesoplenty:rainforest,minecraft:forest
#008C61,Central Anatolian steppe and woodlands,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#008D59,Chatham Island temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#008E75,Huang He Plain mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#008E76,Manchurian mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:maple_woods,minecraft:forest
#009174,Caucasus mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:old_growth_woodland,minecraft:forest
#00938A,Euxine-Colchic broadleaf forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#009535,Tarim Basin deciduous forests and steppe,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#009689,Cantabrian mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#009832,English Lowlands beech forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:birch_forest
#009A48,Taiheiyo evergreen forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:orchard,minecraft:forest
#009B2F,Balkan mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:dark_forest
#009D44,Daba Mountains evergreen forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#009D45,East European forest steppe,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:forested_field,minecraft:forest
#009F5C,Sichuan Basin evergreen broadleaf forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#00A042,Appenine deciduous montane forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#00B500,Southern New Guinea freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,biomesoplenty:floodplain,minecraft:swamp
#00D101,Palau tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#015035,Gulf of St. Lawrence lowland forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:maple_woods,minecraft:forest
#025B32,San Félix-San Ambrosio Islands temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic,biomesoplenty:woodland,minecraft:forest
#025E58,Eastern Australian temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#034B2B,Mississippi lowland forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:bayou,minecraft:forest
#037D00,Tenasserim-South Thailand semi-evergreen rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#03823F,Changbai Mountains mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#038963,Nihonkai montane deciduous forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:cherry_grove
#03908B,Western European broadleaf forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:birch_forest
#04594A,Nelson Coast temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#058D00,Uatumã-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#05BE02,Northern Thailand-Laos moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#06543E,New Zealand South Island temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#067D31,Crimean Submediterranean forest complex,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:dark_forest
#068000,Peninsular Malaysian rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#068452,Northeast China Plain deciduous forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#068B78,Zagros Mountains forest steppe,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#06B100,Ethiopian montane forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#06CD00,Northeast Brazil restingas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#074F33,Rakiura Island temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#079676,Northern Triangle temperate forests,Temperate Broadleaf & Mixed Forests,Indomalayan,biomesoplenty:woodland,minecraft:forest
#07CB07,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#088F00,Pernambuco interior forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#08C000,Luang Prabang montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#094A29,Southeast Australia temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#097874,Dinaric Mountains mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:dark_forest
#097F43,Po Basin mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#098200,Mindanao montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#09B700,Araucaria moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#0AA04B,Northeast US Coastal forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:woodland,minecraft:forest
#0AA800,Xingu-Tocantins-Araguaia moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#0ABB0B,Sumatran freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:floodplain,minecraft:swamp
#0B7364,Eastern Anatolian deciduous forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#0B7A36,Qin Ling Mountains deciduous forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#0BD000,Guianan piedmont moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#0C6739,Azores temperate mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#0C9200,Japurá-Solimões-Negro moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#0CA50A,Hainan Island monsoon rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:tropics,minecraft:jungle
#0CB507,Cuban moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#0D6E55,European Atlantic mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:old_growth_woodland,minecraft:forest
#0D8500,Christmas and Cocos Islands tropical forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#0D9400,Northern New Guinea montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#0D960C,Congolian coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:tropics,minecraft:jungle
#0D9B3B,Ozark Mountain forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:woodland,minecraft:forest
#0DC300,Borneo montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#0DCC00,Maputaland coastal forests and woodlands,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:tropics,minecraft:jungle
#0E622E,Baltic mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:old_growth_birch_forest
#0E7574,Sarmatic mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:dark_forest
#0EB100,Fiji tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#0F6948,Hokkaido deciduous forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:snowblossom_grove,minecraft:forest
#0FB20F,Magdalena-Urabá moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#105D5C,Caspian Hyrcanian mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#10643C,Madeira evergreen forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:woodland,minecraft:forest
#107065,Southern Korea evergreen forests,Temperate Broadleaf & Mixed Forests,Palearctic,biomesoplenty:orchard,minecraft:forest
#108E67,Allegheny Highlands forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:woodland,minecraft:forest
#10968D,Upper Midwest US forest-savanna transition,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:woodland,minecraft:forest
#10D300,Catatumbo moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#116B57,Taiheiyo montane deciduous forests,Temperate Broadleaf & Mixed Forests,Palearctic,,minecraft:cherry_grove
#11A312,Nansei Islands subtropical evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:tropics,minecraft:jungle
#129314,Niger Delta swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:bayou,minecraft:swamp
#129315,Northeast Congolian lowland forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#138800,Venezuelan Andes montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#138957,Appalachian Piedmont forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:maple_woods,minecraft:forest
#147B00,South China Sea Islands,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#14B000,Sulawesi lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#158449,East Central Texas forests,Temperate Broadleaf & Mixed Forests,Nearctic,biomesoplenty:woodland,minecraft:forest
#158A17,Chao Phraya lowland moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#159312,Western Polynesian tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#159A15,Chiapas montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#169312,Tuamotu tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#169E4A,Tasmanian temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:woodland,minecraft:forest
#16CC00,Samoan tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#177D00,Mindoro rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#178A00,Petén-Veracruz moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#178F41,Magellanic subpolar forests,Temperate Broadleaf & Mixed Forests,Neotropic,biomesoplenty:woodland,minecraft:forest
#199998,Westland temperate forests,Temperate Broadleaf & Mixed Forests,Australasia,biomesoplenty:rainforest,minecraft:forest
#19B200,Biak-Numfoor rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#1AAC01,Guinean montane forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#1B8000,Eastern Java-Bali montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#1B8D00,Leeward Islands moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#1BD310,Lord Howe Island subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#1C9600,Sri Lanka lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#1CD100,Tonle Sap-Mekong peat swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:bog,minecraft:swamp
#1D8F01,Seram rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#1DB906,Northern Vietnam lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#1DBB00,Luzon rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#1E910F,Cross-Sanaga-Bioko coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:tropics,minecraft:jungle
#1EC802,Oaxacan montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#1F9000,Cordillera La Costa montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#1FB60E,Sumatran montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#1FD019,Vogelkop-Aru lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#208E15,Northwest Congolian lowland forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#20A00D,Irrawaddy freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:floodplain,minecraft:swamp
#20B204,Bahia coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:tropics,minecraft:jungle
#20C60B,Talamancan montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#218300,Veracruz montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#21B00B,Eastern Panamanian montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#21CB00,Hispaniolan moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#229E14,North Western Ghats moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#22AC02,Kermadec Islands subtropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#22BE00,Brahmaputra Valley semi-evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jacaranda_glade,minecraft:jungle
#23A909,Yunnan Plateau subtropical evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,Palearctic,biomesoplenty:jade_cliffs,minecraft:jungle
#23C700,Mount Cameroon and Bioko montane forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#249B1A,Southern Annamites montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#24AD13,Marajó várzea,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:floodplain,minecraft:jungle
#24B720,Admiralty Islands lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#258500,Purus várzea,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:floodplain,minecraft:jungle
#259518,Chocó-Darién moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:rainforest,minecraft:jungle
#26AB00,Trobriand Islands rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#26AB1A,Santa Marta montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#277B00,Greater Negros-Panay rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#27CE00,Cayos Miskitos-San Andrés and Providencia moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#28CA00,Cameroon Highlands forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#298800,Magdalena Valley montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#2A8400,Western Guinean lowland forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#2B9100,Sulu Archipelago rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#2BC700,Tongan tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#2C6D40,Caledon conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#2C7249,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#2C8479,Khangai Mountains conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#2D5E4F,Hengduan Mountains subalpine conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_pine_taiga
#2D6358,Elburz Range forest steppe,Temperate Conifer Forests,Palearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#2D6863,Da Hinggan-Dzhagdy Mountains conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#2D7F6C,Northeast Himalayan subalpine conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_pine_taiga
#2D8B04,Southeast Papuan rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#2D8C12,Eastern Arc forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#2E7A60,Nujiang Langcang Gorge alpine conifer and mixed forests,Temperate Conifer Forests,Palearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_pine_taiga
#2E8917,Southern Swahili coastal forests and woodlands,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,biomesoplenty:tropics,minecraft:jungle
#2E8B00,Costa Rican seasonal moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#2F7555,Qionglai-Minshan conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#2F7E01,Windward Islands moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#30704B,Scandinavian coastal conifer forests,Temperate Conifer Forests,Palearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#317873,Western Himalayan subalpine conifer forests,Temperate Conifer Forests,Indomalayan,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_pine_taiga
#319B11,Jian Nan subtropical evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:orchard,minecraft:jungle
#328000,Rio Negro campinarana,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:rainforest,minecraft:jungle
#329917,Northern Annamites rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#32B602,Maldives-Lakshadweep-Chagos Archipelago tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:tropics,minecraft:jungle
#338C12,Central Polynesian tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,,minecraft:jungle
#33B40A,Palawan rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#33CC01,Western Java montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:jade_cliffs,minecraft:jungle
#349D70,British Columbia coastal conifer forests,Temperate Conifer Forests,Nearctic,biomesoplenty:redwood_forest,minecraft:old_growth_spruce_taiga
#34B111,Sundaland heath forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:rainforest,minecraft:jungle
#34CE15,New Britain-New Ireland lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,,minecraft:jungle
#368300,Marañón dry forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#369863,Central Pacific Northwest coastal forests,Temperate Conifer Forests,Nearctic,biomesoplenty:redwood_forest,minecraft:old_growth_spruce_taiga
#36A490,Puget lowland forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#36A816,Monte Alegre várzea,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:floodplain,minecraft:jungle
#36B900,Chao Phraya freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:floodplain,minecraft:swamp
#36C307,Pantanos de Centla,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#379357,Colorado Rockies forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#37C10F,Tocantins/Pindare moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#37C200,Nigerian lowland forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#37C600,Isthmian-Atlantic moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,biomesoplenty:rainforest,minecraft:jungle
#385F4D,Great Basin montane forests,Temperate Conifer Forests,Nearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#386455,Eastern Cascades forests,Temperate Conifer Forests,Nearctic,biomesoplenty:redwood_forest,minecraft:old_growth_spruce_taiga
#387750,Arizona Mountains forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#389F81,Sierra Nevada forests,Temperate Conifer Forests,Nearctic,biomesoplenty:redwood_forest,minecraft:taiga
#38A61D,Sierra de los Tuxtlas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#38CF00,South Taiwan monsoon rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,biomesoplenty:tropics,minecraft:jungle
#39695D,Central-Southern Cascades Forests,Temperate Conifer Forests,Nearctic,biomesoplenty:redwood_forest,minecraft:old_growth_spruce_taiga
#396D67,Central British Columbia Mountain forests,Temperate Conifer Forests,Nearctic,biomesoplenty:redwood_forest,minecraft:old_growth_spruce_taiga
#397272,Blue Mountains forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#398C00,Sumatran lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,,minecraft:jungle
#398E8A,Fraser Plateau and Basin conifer forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#3A897D,Klamath-Siskiyou forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#3A9A73,Wasatch and Uinta montane forests,Temperate Conifer Forests,Nearctic,biomesoplenty:snowy_coniferous_forest,minecraft:old_growth_spruce_taiga
#3B8600,Eastern Cordillera Real montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,,minecraft:jungle
#3B8714,Eastern Guinean forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,,minecraft:jungle
#3C6B66,South Central Rockies forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_spruce_taiga
#3C704B,Queen Charlotte Islands conifer forests,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:taiga
#3C7553,Piney Woods,Temperate Conifer Forests,Nearctic,biomesoplenty:coniferous_forest,minecraft:old_growth_pine_taiga
