provider,biome_id,display_name,notes,source
NATURES_SPIRIT,natures_spirit:snowcapped_red_peaks,Snowcapped Red Peaks,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:snowy_fir_forest,Snowy Fir Forest,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:snowy_redwood_forest,Snowy Redwood Forest,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:sparse_tropical_woods,Sparse Tropical Woods,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:stratified_desert,Stratified Desert,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:sugi_forest,Sugi Forest,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:tropical_basin,Tropical Basin,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:tropical_shores,Tropical Shores,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:tropical_woods,Tropical Woods,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:tundra,Tundra,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:white_cliffs,White Cliffs,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:windswept_sugi_forest,Windswept Sugi Forest,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:wisteria_forest,Wisteria Forest,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:wooded_drylands,Wooded Drylands,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:woody_highlands,Woody Highlands,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
NATURES_SPIRIT,natures_spirit:xeric_plains,Xeric Plains,Nature's Spirit 1.21.1 biome ID from generated worldgen biome resources,https://github.com/Team-Hibiscus/NaturesSpirit/tree/dev/src/main/resources/data/natures_spirit/worldgen/biome
